order_id,order_date,delivery_date,customer_id,seller_id,region,product_category,payment_method,order_value,discount_percent,final_price,quantity,delivery_status,refund_flag,delivery_time_days,customer_rating,satisfaction_score,logistics_partner,delay_reason,repeat_purchase_flag,customer_name,customer_email,customer_segment,seller_name,seller_region
ORD001716,20-03-2025,28-03-2025,CUST05490,SELL0001,Ranchi,Electronics,Debit Card,4881.473833,19.28,3940.325678,2,Delivered,FALSE,8,2,38.7,Bluedart,Logistics Issue,TRUE,Customer_1495,customer1495@email.com,Regular,Seller_249,East
ORD005986,16-01-2025,20-01-2025,CUST03438,SELL0001,Visakhapatnam,Fashion,Cod,25152.84325,32.11,17076.26528,3,Delivered,FALSE,4,4.2,51.5,Bluedart,Logistics Issue,TRUE,Customer_2521,customer2521@email.com,Regular,Seller_249,East
ORD005083,27-01-2025,04-02-2025,CUST00287,SELL0001,Surat,Groceries,Wallet,3230.096994,22.05,2517.860607,3,Delivered,FALSE,8,2.7,42.4,Bluedart,Logistics Issue,FALSE,Customer_3399,customer3399@email.com,Premium,Seller_249,East
ORD003334,23-04-2025,04-05-2025,CUST02595,SELL0001,Patna,Groceries,Wallet,5720.493191,17.15,4739.428608,3,Delivered,FALSE,11,1.9,99.6,Bluedart,Logistics Issue,TRUE,Customer_2553,customer2553@email.com,Premium,Seller_249,East
ORD000388,29-07-2025,11-08-2025,CUST00314,SELL0001,Ranchi,Groceries,Debit Card,2529.005145,23.65,1930.895428,2,Delivered,FALSE,13,4.2,5.4,Bluedart,Weather,TRUE,Customer_379,customer379@email.com,Regular,Seller_249,East
ORD018786,21-02-2025,02-03-2025,CUST05840,SELL0001,Kanpur,Groceries,Credit Card,13909.31576,47.33,7326.036609,1,Cancelled,FALSE,9,3.2,82.3,Bluedart,High Demand,FALSE,Customer_3309,customer3309@email.com,Occasional,Seller_249,East
ORD013530,07-10-2024,13-10-2024,CUST03559,SELL0001,Ahmedabad,Groceries,Cod,1933.038764,48.92,987.3962004,3,Delivered,FALSE,6,2.3,71.5,Bluedart,Weather,FALSE,Customer_5328,customer5328@email.com,Premium,Seller_249,East
ORD000562,11-09-2025,20-09-2025,CUST01729,SELL0002,Visakhapatnam,Fashion,Credit Card,15343.38058,20.5,12197.98756,2,Delivered,FALSE,9,1.3,6.4,Bluedart,Logistics Issue,FALSE,Customer_543,customer543@email.com,Regular,Seller_327,West
ORD001166,01-05-2025,08-05-2025,CUST05655,SELL0002,Kanpur,Fashion,Credit Card,13829.73532,26.95,10102.62165,3,Delivered,FALSE,7,3.6,87.8,Bluedart,Weather,TRUE,Customer_1064,customer1064@email.com,Regular,Seller_327,West
ORD010588,15-11-2024,16-11-2024,CUST01328,SELL0002,Jaipur,Home,Upi,26124.99835,48.79,13378.61165,1,Delivered,FALSE,1,2,5.3,Bluedart,,FALSE,Customer_2900,customer2900@email.com,Premium,Seller_327,West
ORD008896,26-10-2024,31-10-2024,CUST00977,SELL0002,Chandigarh,Fashion,Cod,4520.298907,32.9,3033.120567,3,Cancelled,FALSE,5,4.6,47.9,Bluedart,High Demand,TRUE,Customer_646,customer646@email.com,Premium,Seller_327,West
ORD005825,19-05-2025,01-06-2025,CUST03772,SELL0002,Vadodara,Sports,Credit Card,248.155751,45.03,136.4112163,3,Delivered,FALSE,13,4.5,58.1,Bluedart,High Demand,FALSE,Customer_972,customer972@email.com,Regular,Seller_327,West
ORD005377,22-03-2025,25-03-2025,CUST03231,SELL0002,Chandigarh,Sports,Credit Card,11504.24508,5.79,10838.14929,2,Delivered,FALSE,3,2.1,81.9,Bluedart,Weather,TRUE,Customer_1457,customer1457@email.com,Regular,Seller_327,West
ORD005187,13-02-2025,21-02-2025,CUST00362,SELL0002,Rajkot,Beauty,Debit Card,0,10.49,0,3,Delivered,FALSE,8,1.3,78.1,Bluedart,Weather,FALSE,Customer_135,customer135@email.com,Premium,Seller_327,West
ORD010145,03-01-2025,08-01-2025,CUST01010,SELL0002,Vadodara,Groceries,Cod,7008.71154,25.23,5240.413619,3,Delivered,FALSE,5,4.6,49.2,Bluedart,,TRUE,Customer_4794,customer4794@email.com,Premium,Seller_327,West
ORD009050,30-11-2024,01-12-2024,CUST02304,SELL0002,Coimbatore,Toys,Upi,6715.474133,32.04,4563.836221,3,Delivered,FALSE,1,3.6,63.2,Bluedart,Weather,TRUE,Customer_2296,customer2296@email.com,Premium,Seller_327,West
ORD010840,25-08-2024,07-09-2024,CUST04018,SELL0003,Delhi,Toys,Cod,15273.18324,44.53,8472.034741,4,Delivered,FALSE,13,2.2,92.2,Bluedart,Weather,FALSE,Customer_4991,customer4991@email.com,Occasional,Seller_486,North
ORD019164,04-08-2024,10-08-2024,CUST02327,SELL0003,Pune,Fashion,Credit Card,4074.095012,6.43,3812.130703,4,Delivered,FALSE,6,4.5,19.9,Bluedart,High Demand,TRUE,Customer_3939,customer3939@email.com,Regular,Seller_486,North
ORD019706,24-08-2024,26-08-2024,CUST03951,SELL0003,Kochi,Groceries,Wallet,2570.537838,36.72,1626.636344,3,Delivered,FALSE,2,1.9,35.7,Bluedart,Incorrect Address,TRUE,Customer_4724,customer4724@email.com,Premium,Seller_486,North
ORD002624,31-03-2025,07-04-2025,CUST03492,SELL0003,Hyderabad,Sports,Cod,2906.679111,28.54,2077.112892,3,Delivered,FALSE,7,1.1,58.3,Bluedart,High Demand,TRUE,Customer_2122,customer2122@email.com,Regular,Seller_486,North
ORD002218,22-10-2024,30-10-2024,CUST04089,SELL0003,Guwahati,Toys,Debit Card,2089.496848,30.46,1453.036108,2,Delivered,FALSE,8,4.3,61.8,Bluedart,Logistics Issue,FALSE,Customer_1853,customer1853@email.com,Premium,Seller_486,North
ORD003772,10-05-2025,19-05-2025,CUST00351,SELL0003,Jaipur,Beauty,Upi,6731.95521,1.69,6618.185167,4,Delivered,FALSE,9,2.5,83.1,Bluedart,,FALSE,Customer_937,customer937@email.com,Regular,Seller_486,North
