order_id,order_date,delivery_date,customer_id,seller_id,region,product_category,payment_method,order_value,discount_percent,final_price,quantity,delivery_status,refund_flag,delivery_time_days,customer_rating,satisfaction_score,logistics_partner,delay_reason,repeat_purchase_flag,customer_name,customer_email,customer_segment,seller_name,seller_region
ORD000001,2025-08-10,19-08-2025,CUST00132,SELL0393,North,Electronics,Cod,15662.12,46.36,8401.16,3,Delivered,No,9,1.1,6.6,Shopee Express,Logistics Issue,Yes,Customer_0,customer0@email.com,Occasional,Seller_0,East
ORD000002,2025-09-04,09-09-2025,CUST01398,SELL0052,East,Groceries,Upi,14709.16,30.76,10184.62,1,Delivered,No,5,4.2,23.7,Shopee Express,Incorrect Address,No,Customer_1,customer1@email.com,Premium,Seller_1,North
ORD000003,2025-08-23,04-09-2025,CUST04758,SELL0292,South,Fashion,Upi,3816.25,5.81,3594.53,1,Shipped,No,12,4.1,25.3,Shopee Express,Weather,Yes,Customer_2,customer2@email.com,Regular,Seller_2,North
ORD000004,2025-06-15,27-06-2025,CUST05849,SELL0360,East,Electronics,Credit Card,11681.9,31.63,7986.92,1,Delivered,No,12,4.3,24.4,Bluedart,Logistics Issue,No,Customer_3,customer3@email.com,Regular,Seller_3,South
ORD000005,2025-05-01,14-05-2025,CUST04135,SELL0011,West,Electronics,Cod,12237.55,47.45,6430.83,4,Delivered,No,13,4.5,74.9,Xpressbees,Weather,No,Customer_4,customer4@email.com,Regular,Seller_4,South
ORD000006,2025-03-03,05-03-2025,CUST05258,SELL0204,South,Fashion,Upi,9153.32,4.54,8737.76,2,Delivered,No,2,2.1,36.8,Delhivery,,Yes,Customer_5,customer5@email.com,Regular,Seller_5,East
ORD000007,2025-08-15,27-08-2025,CUST05531,SELL0341,East,Electronics,Debit Card,-50,3.07,420.96,1,Delivered,No,12,1.2,92,Ecom Express,Logistics Issue,Yes,Customer_6,customer6@email.com,Regular,Seller_6,East
ORD000008,2024-08-20,29-07-2025,CUST00850,SELL0207,North,Sports,Cod,2109.91,42.84,1206.02,1,Delivered,No,8,3.3,2.9,Xpressbees,Weather,No,Customer_7,customer7@email.com,Occasional,Seller_7,South
ORD000009,2025-06-17,21-06-2025,CUST04638,SELL0123,East,Fashion,Upi,11490.74,28.42,8225.07,1,Returned,No,4,2,35.8,Delhivery,,No,Customer_8,customer8@email.com,Premium,Seller_8,West
ORD000010,2025-08-07,14-08-2025,CUST02445,SELL0474,West,Electronics,Debit Card,10290.12,9.13,9350.63,1,Cancelled,No,7,3.3,99.9,Bluedart,Weather,No,Customer_9,customer9@email.com,Regular,Seller_9,East
ORD000011,2025-09-19,27-09-2025,CUST01926,SELL0135,North,Groceries,Upi,15739.78,5.61,14856.78,4,Delivered,No,8,3.4,20.2,Delhivery,Weather,No,Customer_10,customer10@email.com,Occasional,Seller_10,East
ORD000012,2024-11-30,14-12-2024,CUST04741,SELL0281,East,Home,Debit Card,8812.79,133.6845923,7512.9,2,Cancelled,No,14,1.7,84,Xpressbees,Incorrect Address,Yes,Customer_11,customer11@email.com,Regular,Seller_11,North
ORD000013,2025-08-11,12-08-2025,CUST01409,SELL0053,East,Electronics,Upi,10920.3,30.72,7565.58,2,Delivered,No,1,2.7,68.3,Ecom Express,,Yes,Customer_12,customer12@email.com,Regular,Seller_12,South
ORD000014,2024-12-12,13-12-2024,CUST05969,SELL0329,West,Toys,Cod,657.17,33.43,437.48,1,Delivered,No,1,4,30.1,Xpressbees,Incorrect Address,Yes,Customer_13,customer13@email.com,Occasional,Seller_13,West
ORD000015,2025-04-22,28-04-2025,CUST02316,SELL0420,South,Beauty,Upi,12614.04,0.57,12542.14,4,Delivered,No,6,2.6,81.8,Xpressbees,Incorrect Address,No,Customer_14,customer14@email.com,Premium,Seller_14,East
ORD000016,2025-05-18,28-05-2025,CUST02871,SELL0344,East,Toys,Credit Card,3865.15,48.6,1986.69,3,Delivered,No,10,1.3,57.2,Delhivery,High Demand,Yes,Customer_15,customer15@email.com,Occasional,Seller_15,South
ORD000017,2025-06-05,09-06-2025,CUST01839,SELL0043,West,Electronics,Wallet,5838.88,5.59,5512.49,4,Cancelled,No,4,2.6,72.7,Bluedart,Weather,Yes,Customer_16,customer16@email.com,Occasional,Seller_16,North
ORD000018,2024-11-17,22-11-2024,CUST04778,SELL0175,East,Fashion,Debit Card,18367.31,12.76,16023.64,2,Delivered,No,5,3.6,58.3,Delhivery,Incorrect Address,Yes,Customer_17,customer17@email.com,Regular,Seller_17,North
ORD000019,2024-10-01,07-10-2024,CUST03672,SELL0334,North,Home,Wallet,17609.13,8.12,16179.27,3,Delivered,No,6,3.5,85,Shopee Express,Weather,Yes,Customer_18,customer18@email.com,Regular,Seller_18,North
ORD000020,2025-07-30,03-08-2025,CUST00819,SELL0118,West,Electronics,Debit Card,8727.34,5.73,8227.26,4,Delivered,No,4,1.7,2,Delhivery,High Demand,Yes,Customer_19,customer19@email.com,Regular,Seller_19,North
ORD000021,2024-09-26,02-10-2024,CUST03148,SELL0466,North,Fashion,Debit Card,4534.34,10.3,4067.3,2,Delivered,No,6,2,47.7,Ecom Express,Weather,Yes,Customer_20,customer20@email.com,Occasional,Seller_20,North
ORD000022,2025-01-31,01-02-2025,CUST02759,SELL0010,North,Beauty,Credit Card,4708.75,23.43,3605.49,2,Delivered,No,1,3.6,85.6,Bluedart,Incorrect Address,Yes,Customer_21,customer21@email.com,Premium,Seller_21,West
ORD000023,2024-08-19,23-08-2024,CUST01109,SELL0035,South,Sports,Cod,-50,28.8,12646.78,1,Delivered,No,4,1.4,1.8,Bluedart,High Demand,Yes,Customer_22,customer22@email.com,Regular,Seller_22,West
ORD000024,2025-04-10,19-04-2025,CUST00232,SELL0328,South,Toys,Credit Card,615.68,7.8,567.66,4,Delivered,No,9,2.3,53.1,Delhivery,Weather,Yes,Customer_23,customer23@email.com,Regular,Seller_23,North
ORD000025,2025-06-11,23-06-2025,CUST05281,SELL0303,South,Groceries,Wallet,18837.54,31.28,12945.16,2,Delivered,No,12,3.4,61.9,Xpressbees,High Demand,Yes,Customer_24,customer24@email.com,Regular,Seller_24,South
ORD000026,2024-12-27,07-01-2025,CUST03962,SELL0277,North,Fashion,Wallet,8074.16,45.49,4401.22,1,Cancelled,No,11,2,4.5,Ecom Express,,No,Customer_25,customer25@email.com,Occasional,Seller_25,West
ORD000027,2025-01-25,06-02-2025,CUST03928,SELL0056,East,Electronics,Upi,10434.03,45.86,5648.98,1,Shipped,No,12,2.3,31.7,Delhivery,Weather,No,Customer_26,customer26@email.com,Occasional,Seller_26,North
ORD000028,2024-12-16,24-12-2024,CUST02067,SELL0462,West,Home,Credit Card,10439.69,28.61,7452.89,4,Delivered,No,8,4.9,88,Shopee Express,Incorrect Address,Yes,Customer_27,customer27@email.com,Regular,Seller_27,West
ORD000029,2024-08-11,17-08-2024,CUST03310,SELL0497,East,Electronics,Wallet,15191.78,44.47,8436,3,Delivered,No,6,3.4,81.5,Ecom Express,,No,Customer_28,customer28@email.com,Regular,Seller_28,West
ORD000030,2024-11-21,26-11-2024,CUST00410,SELL0381,East,Groceries,Cod,6600.29,46.91,3504.09,4,Delivered,No,5,2.9,8.7,Shopee Express,Logistics Issue,No,Customer_29,customer29@email.com,Occasional,Seller_29,East
ORD000031,2024-10-31,05-11-2024,CUST04177,SELL0103,East,Sports,Credit Card,6239.37,1.79,6127.69,1,Shipped,No,5,1.2,9,Bluedart,Incorrect Address,Yes,Customer_30,customer30@email.com,Regular,Seller_30,South
ORD000032,2025-03-11,22-03-2025,CUST01419,SELL0453,West,Electronics,Upi,9691.18,22.69,7492.25,3,Delivered,No,11,1.1,55,Ecom Express,Incorrect Address,No,Customer_31,customer31@email.com,Premium,Seller_31,North
ORD000033,2025-05-08,21-05-2025,CUST04002,SELL0012,West,Sports,Wallet,14568.7,34.6,9527.93,3,Shipped,No,13,2.1,34.9,Shopee Express,Logistics Issue,Yes,Customer_32,customer32@email.com,Occasional,Seller_32,South
ORD000034,2025-03-04,18-03-2025,CUST01117,SELL0053,West,Beauty,Credit Card,12663.4,25.24,9467.16,1,Delivered,No,14,2.3,7.1,Bluedart,Logistics Issue,Yes,Customer_33,customer33@email.com,Occasional,Seller_12,South
ORD000035,2025-02-02,15-02-2025,CUST01372,SELL0423,North,Fashion,Upi,19569.32,33.71,12972.5,3,Delivered,No,13,2.1,41.4,Bluedart,,Yes,Customer_34,customer34@email.com,Occasional,Seller_33,North
ORD000036,2025-08-19,02-09-2025,CUST04206,SELL0058,Weast,Electronics,Debit Card,17222.59,24.62,12982.39,2,Delivered,Yes,14,4.4,67.7,Ecom Express,,Yes,Customer_35,customer35@email.com,Premium,Seller_34,North
ORD000037,2025-08-09,16-08-2025,CUST00792,SELL0432,East,Groceries,Cod,3125.02,40.48,1860.01,4,Delivered,No,7,3.2,68.8,Xpressbees,High Demand,Yes,Customer_36,customer36@email.com,Premium,Seller_35,East
ORD000038,2025-01-10,12-01-2025,CUST02832,SELL0078,North,Groceries,Upi,19958.6,29.26,14118.71,4,Cancelled,No,2,4.8,87,Shopee Express,High Demand,Yes,Customer_37,customer37@email.com,Occasional,Seller_36,East
ORD000039,2024-08-04,05-08-2024,CUST02733,SELL0337,North,Fashion,Wallet,18402.07,47.31,9696.05,4,Delivered,No,1,1.6,42.6,Bluedart,Weather,Yes,Customer_38,customer38@email.com,Occasional,Seller_37,North
ORD000040,2024-08-13,18-08-2024,CUST00248,SELL0432,West,Beauty,Wallet,2398.72,48.56,1233.9,4,Delivered,No,5,1.1,95.1,Shopee Express,High Demand,Yes,Customer_39,customer39@email.com,Regular,Seller_35,East
ORD000041,2025-09-28,01-10-2025,CUST01645,SELL0316,South,Beauty,Wallet,14280.24,26.82,10450.28,2,Delivered,No,3,1.8,4.1,Bluedart,Logistics Issue,Yes,Customer_40,customer40@email.com,Occasional,Seller_38,East
ORD000042,2024-09-17,01-10-2024,CUST02310,SELL0487,South,Home,Credit Card,5108.36,4.77,4864.69,4,Cancelled,No,14,4.1,61.2,Ecom Express,,No,Customer_41,customer41@email.com,Premium,Seller_39,South
ORD000043,2025-02-26,11-03-2025,CUST00232,SELL0033,East,Home,Credit Card,9453.7,36.18,6033.35,3,Delivered,No,13,4.5,88.4,Bluedart,Logistics Issue,Yes,Customer_23,customer23@email.com,Regular,Seller_40,North
ORD000044,2024-11-10,14-11-2024,CUST00685,SELL0029,North,Beauty,Debit Card,16717.73,24.81,12570.06,2,Delivered,No,4,4.6,43.8,Xpressbees,Weather,No,Customer_42,customer42@email.com,Premium,Seller_41,South
ORD000045,2025-01-24,27-01-2025,CUST05270,SELL0341,North,Sports,Wallet,6452.55,38.99,3936.7,2,Delivered,No,3,4.9,57.3,Ecom Express,High Demand,Yes,Customer_43,customer43@email.com,Premium,Seller_6,East
ORD000046,2025-05-23,01-06-2025,CUST02296,SELL0254,South,Beauty,Debit Card,18509.84,8.94,16855.06,4,Shipped,No,9,1.3,79.9,Ecom Express,High Demand,Yes,Customer_44,customer44@email.com,Occasional,Seller_42,West
ORD000047,2024-08-01,12-08-2024,CUST00451,SELL0396,West,Beauty,Wallet,2435.95,3.28,2356.05,3,Delivered,No,11,3.9,97.4,Bluedart,Incorrect Address,No,Customer_45,customer45@email.com,Occasional,Seller_43,West
ORD000048,2025-09-01,04-09-2025,CUST00548,SELL0284,Weast,Home,Debit Card,13479.62,22.46,10452.1,2,Pending,Yes,3,2.3,57.6,Ecom Express,High Demand,Yes,Customer_46,customer46@email.com,Regular,Seller_44,West
ORD000049,2024-10-15,24-10-2024,CUST02770,SELL0158,West,Electronics,Upi,10485.07,33.41,6982.01,1,Delivered,No,9,1.1,35.2,Bluedart,Weather,Yes,Customer_47,customer47@email.com,Premium,Seller_45,South
ORD000050,2025-02-08,17-02-2025,CUST05787,SELL0027,North,Fashion,Wallet,2052.99,19.99,1642.6,3,Delivered,No,9,1.9,79.8,Ecom Express,,Yes,Customer_48,customer48@email.com,Regular,Seller_46,South
ORD000051,2025-04-17,20-04-2025,CUST05517,SELL0162,Weast,Home,Wallet,14391.58,14.98,12235.72,1,Delivered,No,3,4.7,81.7,Delhivery,High Demand,Yes,Customer_49,customer49@email.com,Premium,Seller_47,North
ORD000052,2025-02-20,03-03-2025,CUST00988,SELL0324,East,Electronics,Upi,4185.73,22.34,3250.64,3,Delivered,No,11,4.4,48.5,Shopee Express,High Demand,Yes,Customer_50,customer50@email.com,Premium,Seller_48,North
ORD000053,2025-02-15,28-02-2025,CUST03366,SELL0237,East,Beauty,Debit Card,6171.75,81.73185872,5924.26,3,Cancelled,No,13,1.7,51.7,Bluedart,High Demand,Yes,Customer_51,customer51@email.com,Premium,Seller_49,South
ORD000054,2024-11-07,16-11-2024,CUST03042,SELL0295,South,Fashion,Cod,13893.62,12.22,12195.82,1,Delivered,Yes,9,1.8,9.9,Ecom Express,Incorrect Address,No,Customer_52,customer52@email.com,Regular,Seller_50,North
ORD000055,2024-09-14,20-09-2024,CUST00261,SELL0213,North,Groceries,Wallet,4607.18,2.01,4514.58,4,Delivered,Yes,6,4.8,15.6,Bluedart,Weather,No,Customer_53,customer53@email.com,Occasional,Seller_51,East
ORD000056,2024-12-28,01-01-2025,CUST00109,SELL0351,North,Fashion,Debit Card,3580.5,43.52,2022.27,2,Shipped,No,4,2.1,37,Shopee Express,High Demand,Yes,Customer_54,customer54@email.com,Occasional,Seller_52,North
ORD000057,2025-08-27,08-09-2025,CUST00756,SELL0318,North,Sports,Cod,18705.19,39.83,11254.91,3,Delivered,No,12,3.8,78.2,Xpressbees,Incorrect Address,Yes,Customer_55,customer55@email.com,Occasional,Seller_53,South
ORD000058,2024-09-28,,CUST02132,SELL0377,North,Sports,Cod,4766.84,25.445,4563.77,3,Delivered,No,6,3,96,Other,High Demand,Yes,Customer_56,customer56@email.com,Regular,Seller_54,West
ORD000059,2025-09-17,30-09-2025,CUST02737,SELL0491,North,Home,Credit Card,14105.73,40.56,8384.45,1,Shipped,No,13,4.8,27.4,Bluedart,Logistics Issue,Yes,Customer_57,customer57@email.com,Occasional,Seller_55,South
ORD000060,2025-01-20,30-01-2025,CUST04621,SELL0063,North,Toys,Credit Card,1449.98,31.39,994.83,1,Delivered,No,10,3,91.4,Xpressbees,Weather,Yes,Customer_58,customer58@email.com,Occasional,Seller_56,West
ORD000061,2025-09-02,13-09-2025,CUST03897,SELL0327,West,Electronics,Cod,6536.1,16.7,5444.57,2,Delivered,No,11,1.8,98.9,Delhivery,Logistics Issue,No,Customer_59,customer59@email.com,Occasional,Seller_57,East
ORD000062,2024-12-17,22-12-2024,CUST00422,SELL0182,East,Fashion,Debit Card,428.12,25.85,317.45,1,Delivered,No,5,4.1,28.3,Bluedart,Logistics Issue,No,Customer_60,customer60@email.com,Occasional,Seller_58,North
ORD000063,2024-12-27,08-01-2025,CUST05526,SELL0467,Weast,Electronics,Cod,13984.24,4.17,13401.1,4,Pending,Yes,12,4.2,57.6,Shopee Express,,No,Customer_61,customer61@email.com,Occasional,Seller_59,North
ORD000064,2024-08-24,,CUST04267,SELL0148,East,Groceries,Cod,13052.09,25.445,11047.29,2,Returned,No,4,3,86.8,Other,Weather,Yes,Customer_62,customer62@email.com,Regular,Seller_60,South
ORD000065,2024-11-26,08-12-2024,CUST05905,SELL0186,South,Sports,Cod,14235.37,48.14,7382.46,3,Cancelled,No,12,2.7,10.3,Shopee Express,Weather,Yes,Customer_63,customer63@email.com,Occasional,Seller_61,West
ORD000066,2024-09-29,01-10-2024,CUST05234,SELL0495,East,Groceries,Credit Card,3441.07,26.98,2512.67,1,Delivered,No,2,2.1,76.7,Shopee Express,Logistics Issue,Yes,Customer_64,customer64@email.com,Premium,Seller_62,North
ORD000067,2025-03-21,25-03-2025,CUST01069,SELL0469,West,Sports,Debit Card,3034.49,16.45,2535.32,2,Delivered,No,4,4.2,75.4,Xpressbees,,No,Customer_65,customer65@email.com,Regular,Seller_63,East
ORD000068,2025-02-16,19-02-2025,CUST00988,SELL0020,West,Beauty,Cod,18992.42,16.45,15868.17,1,Delivered,No,3,4.2,57.3,Ecom Express,Weather,Yes,Customer_50,customer50@email.com,Premium,Seller_64,East
ORD000069,2024-12-10,21-10-2024,CUST05094,SELL0393,West,Beauty,Debit Card,10445.82,42.17,6040.82,3,Delivered,No,9,2,61.2,Shopee Express,,Yes,Customer_66,customer66@email.com,Premium,Seller_0,East
ORD000070,2025-07-29,11-08-2025,CUST03330,SELL0285,South,Sports,Wallet,17661.44,37.48,11041.93,1,Shipped,No,13,4.5,15.6,Xpressbees,,No,Customer_67,customer67@email.com,Premium,Seller_65,North
ORD000071,2024-09-23,03-10-2024,CUST05902,SELL0252,South,Beauty,Upi,17806.69,49.48,8995.94,1,Shipped,No,10,3.5,77.2,Ecom Express,Incorrect Address,No,Customer_68,customer68@email.com,Occasional,Seller_66,North
ORD000072,2025-03-16,29-03-2025,CUST01067,SELL0068,West,Beauty,Upi,10103.15,40.03,6058.86,2,Shipped,No,13,1.9,34.9,Shopee Express,Weather,Yes,Customer_69,customer69@email.com,Regular,Seller_67,West
ORD000073,2025-09-24,05-10-2025,CUST04587,SELL0019,East,Sports,Debit Card,-50,15.67,16122.65,1,Delivered,No,11,1.2,22.9,Bluedart,Incorrect Address,No,Customer_70,customer70@email.com,Occasional,Seller_68,North
ORD000074,2025-06-28,01-07-2025,CUST02190,SELL0402,West,Groceries,Credit Card,-50,14.65,15286.53,2,Delivered,No,3,2.1,93.9,Xpressbees,Logistics Issue,No,Customer_71,customer71@email.com,Regular,Seller_69,West
ORD000075,2024-08-10,13-08-2024,CUST02753,SELL0097,East,Beauty,Debit Card,1960.92,17.53,1617.17,1,Delivered,No,3,4.1,64.7,Ecom Express,Incorrect Address,Yes,Customer_72,customer72@email.com,Regular,Seller_70,North
ORD000076,2025-05-31,11-06-2025,CUST02152,SELL0354,East,Home,Credit Card,16756.62,18.02,13737.08,4,Delivered,No,11,3.9,16.9,Xpressbees,Weather,No,Customer_73,customer73@email.com,Occasional,Seller_71,East
ORD000077,2024-11-29,12-12-2024,CUST04779,SELL0162,North,Groceries,Cod,2877.53,15.74,2424.61,1,Delivered,No,13,2.1,38.7,Ecom Express,,Yes,Customer_74,customer74@email.com,Occasional,Seller_47,North
ORD000078,2025-07-23,04-08-2025,CUST04077,SELL0199,East,Home,Cod,19893.66,109.0859476,16919.56,4,Delivered,Yes,12,3.8,28.6,Xpressbees,Logistics Issue,Yes,Customer_75,customer75@email.com,Premium,Seller_72,East
ORD000079,2025-04-27,11-05-2025,CUST02968,SELL0049,East,Groceries,Credit Card,12925.35,16.26,10823.69,4,Delivered,No,14,3.7,28.4,Xpressbees,Incorrect Address,No,Customer_76,customer76@email.com,Premium,Seller_73,East
ORD000080,2025-03-16,27-03-2025,CUST01986,SELL0239,West,Sports,Upi,18976.87,27.16,13822.75,3,Delivered,No,11,4.3,79.9,Delhivery,High Demand,Yes,Customer_77,customer77@email.com,Premium,Seller_74,South
ORD000081,2024-12-21,04-01-2025,CUST03181,SELL0334,East,Beauty,Debit Card,14337.25,14.73,12225.37,1,Pending,No,14,4.4,80.5,Bluedart,Logistics Issue,No,Customer_78,customer78@email.com,Regular,Seller_18,North
ORD000082,2025-09-24,06-10-2025,CUST03666,SELL0263,East,Electronics,Wallet,788.22,18.4,643.19,1,Shipped,No,12,2.7,62.4,Ecom Express,Incorrect Address,Yes,Customer_79,customer79@email.com,Regular,Seller_75,West
ORD000083,2025-01-14,17-01-2025,CUST02034,SELL0025,East,Electronics,Credit Card,18878.92,20.07,15089.92,4,Delivered,No,3,4.1,86.2,Shopee Express,Logistics Issue,Yes,Customer_80,customer80@email.com,Regular,Seller_76,South
ORD000084,2025-04-12,26-04-2025,CUST04493,SELL0487,South,Home,Wallet,4483.14,140.9874262,3349.35,1,Delivered,No,14,3.5,10.1,Xpressbees,High Demand,Yes,Customer_81,customer81@email.com,Premium,Seller_39,South
ORD000085,2025-02-28,04-03-2025,CUST02271,SELL0128,West,Home,Upi,3005.96,23.39,2302.87,4,Delivered,No,4,4.1,34.7,Ecom Express,,Yes,Customer_82,customer82@email.com,Premium,Seller_77,South
ORD000086,2024-10-30,01-11-2024,CUST00982,SELL0348,North,Electronics,Debit Card,14963.06,22.32,11623.31,3,Delivered,No,2,4.3,96.7,Bluedart,Weather,Yes,Customer_83,customer83@email.com,Regular,Seller_78,South
ORD000087,2024-09-03,14-09-2024,CUST00403,SELL0124,North,Groceries,Wallet,7392.49,47.83,3856.66,2,Delivered,No,11,4.7,80.1,Xpressbees,High Demand,Yes,Customer_84,customer84@email.com,Occasional,Seller_79,East
ORD000088,2025-03-29,04-04-2025,CUST05033,SELL0318,South,Electronics,Cod,0,4.71,768.38,3,Delivered,No,6,3,89,Bluedart,Incorrect Address,Yes,Customer_85,customer85@email.com,Premium,Seller_53,South
ORD000089,2025-07-20,24-07-2025,CUST02780,SELL0085,North,Home,Upi,6711.44,33.14,4487.27,2,Delivered,No,4,4,6,Shopee Express,Logistics Issue,Yes,Customer_86,customer86@email.com,Premium,Seller_80,North
ORD000090,2025-01-27,31-01-2025,CUST01874,SELL0471,East,Sports,Upi,15482,10.87,13799.11,1,Delivered,Yes,4,2,43.7,Bluedart,Weather,No,Customer_87,customer87@email.com,Regular,Seller_81,West
ORD000091,2025-06-13,22-06-2025,CUST03217,SELL0315,North,Groceries,Wallet,14199.62,2.14,13895.75,4,Delivered,No,9,4,21.5,Xpressbees,,No,Customer_88,customer88@email.com,Regular,Seller_82,West
